0:0:0:0:0:0:0:1 - - [06/May/2022:23:12:57 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [06/May/2022:23:13:36 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [06/May/2022:23:13:44 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [06/May/2022:23:13:46 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [06/May/2022:23:13:56 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [06/May/2022:23:14:05 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [06/May/2022:23:18:15 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [06/May/2022:23:18:18 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 500 1621
0:0:0:0:0:0:0:1 - - [06/May/2022:23:19:35 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [06/May/2022:23:19:39 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [06/May/2022:23:19:42 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [06/May/2022:23:19:47 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [06/May/2022:23:19:49 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [06/May/2022:23:19:55 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [06/May/2022:23:21:07 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [06/May/2022:23:21:58 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [06/May/2022:23:23:10 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [06/May/2022:23:23:18 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [06/May/2022:23:30:45 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [06/May/2022:23:30:53 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [06/May/2022:23:30:59 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [06/May/2022:23:32:14 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [06/May/2022:23:32:23 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 503
